职位名,链接,公司,工作地点,薪资,经验,学历
Python开发工程师,http://jobs.51job.com/shanghai-jdq/91823195.html?s=01&t=0,上海东融投资管理有限公司,上海-嘉定区,1-1.5万/月,2年经验,本科
C++/Python研发工程师,http://jobs.51job.com/beijing-cyq/86600645.html?s=01&t=0,奔讯电子科技（北京）有限公司,北京-朝阳区,0.8-1万/月,2年经验,大专
python 高级工程师,http://jobs.51job.com/shanghai-jaq/67003798.html?s=01&t=0,上海网元电子商务有限公司,上海-静安区,1-1.5万/月,2年经验,本科
Python软件工程师,http://jobs.51job.com/beijing-hdq/68200863.html?s=01&t=0,三和智控（北京）系统集成有限公司,北京-海淀区,6-8千/月,2年经验,本科
python开发工程师  薪资10000以上,http://jobs.51job.com/hefei-lyq/91992043.html?s=01&t=0,安徽丽鑫智能科技有限公司,合肥-庐阳区,1-1.5万/月,3-4年经验,本科
Python Web 开发工程师,http://jobs.51job.com/beijing-cyq/90402001.html?s=01&t=0,北京华路时代信息技术股份有限公司,北京-朝阳区,1-1.5万/月,1年经验,
Python,http://jobs.51job.com/shenzhen-nsq/91976140.html?s=01&t=0,深圳市乐易网络股份有限公司,深圳-南山区,1.5-3万/月,3-4年经验,本科
Python高级开发工程师,http://jobs.51job.com/beijing-hdq/91976512.html?s=01&t=0,北京文泽智远信息技术有限公司,北京-海淀区,1-1.5万/月,3-4年经验,本科
python开发工程师(Odoo),http://jobs.51job.com/shanghai-xhq/62630612.html?s=01&t=0,造源信息科技（上海）有限公司,上海-徐汇区,0.8-1.6万/月,3-4年经验,大专
Python大数据开发/程序员,http://jobs.51job.com/jinshuiqu/91976301.html?s=01&t=0,北京奇酷方舟信息技术有限公司,郑州-金水区,6-8千/月,无工作经验,大专
python开发工程师,http://jobs.51job.com/guangzhou-thq/76038501.html?s=01&t=0,广州极飞科技有限公司,广州-天河区,0.8-1.2万/月,1年经验,大专
python web工程师,http://jobs.51job.com/tianjin/87124043.html?s=01&t=0,天津派普大业仪器科技有限公司,天津,4-6千/月,,本科
后端开发工程师（python、Java）学徒,http://jobs.51job.com/hangzhou/90922379.html?s=01&t=0,杭州码圈网络科技有限公司,杭州,3-4.5千/月,1年经验,大专
Python开发工程师,http://jobs.51job.com/shenzhen/91936733.html?s=01&t=0,深圳兆亮照明有限公司,深圳,1.5-2万/月,3-4年经验,本科
中高级python开发工程师,http://jobs.51job.com/beijing-xcq/88278267.html?s=01&t=0,大连信雅达软件有限公司,北京-西城区,1-1.5万/月,,本科
C++/Python程序员实习生,http://jobs.51job.com/changsha-wcq/91952289.html?s=01&t=0,湖南鸿通投资管理有限公司,长沙-望城区,2-3千/月,,大专
python开发工程师,http://jobs.51job.com/beijing-ftq/79254558.html?s=01&t=0,尚正（北京）信息技术有限公司,北京-丰台区,0.8-2万/月,3-4年经验,本科
Python开发工程师,http://jobs.51job.com/beijing-hdq/90817894.html?s=01&t=0,北京牧游科技有限公司,北京-海淀区,1-1.5万/月,2年经验,大专
Python软件开发工程师,http://jobs.51job.com/guangzhou/85845717.html?s=01&t=0,深圳市商沃科技发展有限公司,广州,0.8-1万/月,1年经验,本科
运维自动化开发工程师（python开发）,http://jobs.51job.com/shanghai-pdxq/69742910.html?s=01&t=0,上海方付通商务服务有限公司,上海-浦东新区,1-2万/月,3-4年经验,大专
python开发,http://jobs.51job.com/shanghai-pdxq/84528908.html?s=01&t=0,联车（上海）信息科技有限公司,上海-浦东新区,1.1-2万/月,3-4年经验,本科
Python软件工程师,http://jobs.51job.com/ningbo-zhq/87341499.html?s=01&t=0,宁波市人才服务中心,宁波-镇海区,0.6-1.2万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/guangzhou/84835721.html?s=01&t=0,赛业（广州）生物科技有限公司,广州,6-8千/月,1年经验,大专
CG流程工程师/Python程序员,http://jobs.51job.com/hangzhou/79184061.html?s=01&t=0,浙江紫桓华韵影视制作有限公司,杭州,1-3万/月,,本科
后端开发(PHP/ Python /nodejs),http://jobs.51job.com/hangzhou-xhq/87455288.html?s=01&t=0,杭州美盛红外光电技术有限公司,杭州-西湖区,1.2-2万/月,,
Python开发工程师,http://jobs.51job.com/beijing-hdq/88610184.html?s=01&t=0,北京易博中天科技有限公司,北京-海淀区,1-1.5万/月,,
Python开发工程师,http://jobs.51job.com/wuhan-hsq/87834739.html?s=01&t=0,深圳市蓝泰源信息技术股份有限公司,武汉-洪山区,0.9-1.6万/月,3-4年经验,本科
python开发工程师,http://jobs.51job.com/shanghai-xhq/75637335.html?s=01&t=0,上海华屹数码科技有限公司,上海-徐汇区,1-1.5万/月,1年经验,本科
Python开发工程师,http://jobs.51job.com/shanghai-pdxq/89709726.html?s=01&t=0,上海无忧汽车驾驶服务有限公司,上海-浦东新区,1-1.8万/月,,
Python高级工程师（数据分析）,http://jobs.51job.com/beijing-hdq/80098004.html?s=01&t=0,海致网络技术（北京）有限公司,北京-海淀区,1.5-2.5万/月,,
服务器开发工程师(Python),http://jobs.51job.com/harbin/86426178.html?s=01&t=0,哈尔滨福特威尔科技有限公司,哈尔滨,0.5-1.2万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/beijing/90172810.html?s=01&t=0,北京中宇华兴科技有限公司,北京,0.8-1万/月,1年经验,
(ID60264)汽车电子-嵌入式工具开发C/Perl/Python,http://jobs.51job.com/shanghai/90430552.html?s=01&t=0,上海任仕达人才服务有限公司,上海,0.8-1万/月,1年经验,本科
Python开发工程师,http://jobs.51job.com/shanghai-zbq/82038063.html?s=01&t=0,上海新工式网络科技有限公司,异地招聘,0.8-1万/月,,
Python开发工程师,http://jobs.51job.com/shanghai-mhq/91590894.html?s=01&t=0,艺链（上海）实业有限公司,上海-闵行区,1-1.5万/月,2年经验,本科
python开发工程师,http://jobs.51job.com/hefei/85323665.html?s=01&t=0,中新网络信息安全股份有限公司,合肥,0.8-1.2万/月,2年经验,
Python开发工程师,http://jobs.51job.com/shanghai/91698659.html?s=01&t=0,Sumscope,上海,1-2万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/shenzhen-baq/86069225.html?s=01&t=0,深圳市对酒当歌科技有限公司,深圳-宝安区,1-2万/月,,本科
Python/Go 运维开发工程师,http://jobs.51job.com/shanghai-hpq/87385195.html?s=01&t=0,上海厚本金融信息服务有限公司,上海-黄浦区,1.5-2万/月,3-4年经验,本科
Python开发工程师,http://jobs.51job.com/jinshuiqu/87586020.html?s=01&t=0,郑州珑凌科技有限公司,郑州-金水区,5-8千/月,,
Python开发工程师,http://jobs.51job.com/shenzhen-ftq/89886829.html?s=01&t=0,深圳市百迅科技有限公司,深圳-福田区,1-1.5万/月,,大专
Python,http://jobs.51job.com/suzhou-gyyq/77055363.html?s=01&t=0,苏州意能通信息技术有限公司,苏州-工业园区,0.5-1万/月,1年经验,本科
Python开发工程师,http://jobs.51job.com/wuhan-jhq/90675799.html?s=01&t=0,善缘金金融,武汉-江汉区,4-8千/月,无工作经验,本科
Python软件工程师(实习),http://jobs.51job.com/guangzhou/81778820.html?s=01&t=0,广州市云润大数据服务有限公司,广州,7-12万/年,,
RD-java/Python发工程师,http://jobs.51job.com/shenzhen/91481865.html?s=01&t=0,中控智慧科技股份有限公司,深圳,4-5千/月,1年经验,大专
Python开发工程师,http://jobs.51job.com/hangzhou/87053875.html?s=01&t=0,杭州投融谱华互联网金融服务有限公司,杭州,1-2万/月,,
Python后端工程师,http://jobs.51job.com/wuhan-jhq/89884881.html?s=01&t=0,北京今朝勇创科技有限公司,武汉-江汉区,0.6-1万/月,,本科
Python开发工程师,http://jobs.51job.com/shenzhen-ftq/87813855.html?s=01&t=0,深圳市网新新思软件有限公司,深圳-福田区,0.9-1.6万/月,3-4年经验,本科
Python开发工程师（初级）,http://jobs.51job.com/guangzhou-yxq/90249379.html?s=01&t=0,广州市申迪计算机系统有限公司,广州-越秀区,6-9千/月,,本科
Python开发工程师/Python程序员/python/爬虫工程师,http://jobs.51job.com/haining/84483815.html?s=01&t=0,海宁好德软件科技有限公司杭州分公司,海宁,6-8千/月,2年经验,大专
PyThon开发,http://jobs.51job.com/changsha-ylq/83189089.html?s=01&t=0,长沙雨人网络安全技术有限公司,长沙-岳麓区,4-8千/月,,大专
python开发工程师,http://jobs.51job.com/shenzhen-nsq/83120740.html?s=01&t=0,深圳市思迪信息技术股份有限公司,深圳-南山区,1.5-2万/月,3-4年经验,
Python开发工程师,http://jobs.51job.com/hangzhou-bjq/76899475.html?s=01&t=0,杭州筑龙信息技术股份有限公司,杭州-滨江区,1.5-2万/月,1年经验,大专
云计算工程师（Python）,http://jobs.51job.com/nanjing/91590881.html?s=01&t=0,南京熙泰信息技术有限公司,南京,0.8-1万/月,,大专
高级软件工程师（python方向）,http://jobs.51job.com/wuhan-hsq/85615265.html?s=01&t=0,烽火通信科技股份有限公司,武汉-洪山区,10-15万/年,,本科
中级python工程师,http://jobs.51job.com/shanghai-pdxq/91437945.html?s=01&t=0,上海欧鸿电子商务有限公司,上海-浦东新区,6-8千/月,,
python开发工程师,http://jobs.51job.com/shanghai-mhq/87016966.html?s=01&t=0,华住酒店管理有限公司,上海-闵行区,6-8千/月,,本科
Python开发工程师,http://jobs.51job.com/wuhan/79606809.html?s=01&t=0,武汉云页移动科技有限公司,武汉,1.2-1.5万/月,3-4年经验,本科
Python开发工程师,http://jobs.51job.com/chengdu-gxq/91544729.html?s=01&t=0,四川上尚善网络科技有限公司,成都-高新区,1-1.2万/月,2年经验,本科
Python程序员,http://jobs.51job.com/shenzhen-nsq/91779158.html?s=01&t=0,深圳前海橙色魔方信息技术有限公司,深圳-南山区,0.9-1.3万/月,3-4年经验,本科
Python 开发工程师,http://jobs.51job.com/guangzhou/86184202.html?s=01&t=0,广州市擎天柱网络科技有限公司,广州,0.6-1.2万/月,,
Python开发工程师,http://jobs.51job.com/wuhan-hsq/90445634.html?s=01&t=0,武汉哥本巷科技有限公司,武汉-洪山区,5-6千/月,2年经验,大专
高级Python开发工程师,http://jobs.51job.com/hangzhou-xhq/74905687.html?s=01&t=0,杭州新思维计算机有限公司,杭州-西湖区,0.8-1万/月,,本科
python web开发工程师,http://jobs.51job.com/guangzhou-thq/87358721.html?s=01&t=0,浙江金科文化产业股份有限公司,异地招聘,0.8-1.5万/月,1年经验,
高级python开发,http://jobs.51job.com/xian-gxjs/84247894.html?s=01&t=0,杭州盈丰软件股份有限公司,西安-高新技术...,10-15万/年,,本科
网络安全工程师（python开发方向）,http://jobs.51job.com/shenzhen-lhq/86852495.html?s=01&t=0,深圳市茁壮网络股份有限公司,深圳-罗湖区,1-1.5万/月,,大专
Python开发工程师,http://jobs.51job.com/guangzhou/87858770.html?s=01&t=0,广州汇智通信技术有限公司,广州,1.5-2万/月,1年经验,
Python就业指导,http://jobs.51job.com/zhengzhou/89789401.html?s=01&t=0,传智播客教育集团郑州分校,郑州,0.7-1.5万/月,,大专
python就业指导专员,http://jobs.51job.com/beijing-cpq/89459343.html?s=01&t=0,北京传智播客教育科技有限公司,北京-昌平区,1-1.5万/月,1年经验,大专
Python就业指导专员,http://jobs.51job.com/shenzhen-baq/90546319.html?s=01&t=0,传智播客教育集团深圳分校,深圳-宝安区,1.2-2万/月,2年经验,大专
python开发工程师/python爬虫/python数据挖掘,http://jobs.51job.com/guangzhou/85710433.html?s=01&t=0,广州八百方信息技术有限公司,广州,0.6-1.8万/月,2年经验,大专
python开发,http://jobs.51job.com/wuhan-jxq/82617291.html?s=01&t=0,武汉合创鼎联科技有限公司,武汉-江夏区,5-7千/月,2年经验,本科
python数据应用开发工程师,http://jobs.51job.com/hangzhou/91125599.html?s=01&t=0,浙江宇天科技股份有限公司,杭州,0.8-1万/月,,大专
Python开发工程师,http://jobs.51job.com/shanghai-xhq/85964280.html?s=01&t=0,上海六界信息技术有限公司,上海-徐汇区,1-2万/月,2年经验,本科
Python开发工程师（郑州）,http://jobs.51job.com/zhengzhou/88127387.html?s=01&t=0,郑州信大捷安信息技术股份有限公司,郑州,0.6-1万/月,3-4年经验,
高级软件开发工程师（C++/Python）_互联网金融项目,http://jobs.51job.com/shenzhen-ftq/83097132.html?s=01&t=0,甲骨文（中国）软件系统有限公司,深圳-福田区,,3-4年经验,本科
高级python后端工程师,http://jobs.51job.com/fuzhou-csq/85507359.html?s=01&t=0,福州东西电子商务有限公司,福州-仓山区,0.6-1.1万/月,,大专
Python工程师,http://jobs.51job.com/chengdu/75582132.html?s=01&t=0,成都赫尔墨斯科技有限公司,成都,0.8-1万/月,1年经验,本科
"实习生（Java, Python）",http://jobs.51job.com/shanghai-xhq/87570343.html?s=01&t=0,上海驹旗网络科技有限公司,上海-徐汇区,150元/天,无工作经验,本科
python开发工程师,http://jobs.51job.com/nanjing-pkq/82269948.html?s=01&t=0,江苏瑞银产业,南京-浦口区,0.6-1.2万/月,,
服务器开发工程师（Python）,http://jobs.51job.com/liupanshui/84799119.html?s=01&t=0,深圳市博奥特智能科技有限公司,异地招聘,0.8-1万/月,,
开发工程师（python方向）,http://jobs.51job.com/xian/91015811.html?s=01&t=0,北京银港科技有限公司,西安,0.8-1万/月,2年经验,本科
运维&python开发工程师（高级）,http://jobs.51job.com/chengdu/75570653.html?s=01&t=0,成都趣乐多科技有限公司,成都,0.8-1.5万/月,2年经验,大专
python开发工程师,http://jobs.51job.com/guangzhou/70714557.html?s=01&t=0,艾美美容中心,广州,6-8千/月,1年经验,大专
Python后端工程师,http://jobs.51job.com/shanghai-pdxq/74093158.html?s=01&t=0,上海睿迹网络科技有限公司,上海-浦东新区,1-1.5万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/xian/87318046.html?s=01&t=0,上海汇纳信息科技股份有限公司,西安,0.6-1万/月,1年经验,本科
Python工程师,http://jobs.51job.com/guangzhou-pyq/86707314.html?s=01&t=0,广东紫晶信息存储技术股份有限公司,广州-番禺区,1-2万/月,3-4年经验,大专
Python工程师,http://jobs.51job.com/hefei/90887669.html?s=01&t=0,安徽七天教育科技有限公司,合肥,0.8-1万/月,3-4年经验,大专
Python开发工程师,http://jobs.51job.com/guangzhou-hzq/83003228.html?s=01&t=0,江苏点米网络科技股份有限公司佛山分公司,广州-海珠区,1.8-2.5万/月,,本科
Python开发工程师,http://jobs.51job.com/shenzhen-ftq/87696352.html?s=01&t=0,中国金融在线-巨灵财经,深圳-福田区,1-1.5万/月,,
python采集工程师,http://jobs.51job.com/beijing-cyq/91696880.html?s=01&t=0,第道南京信息技术有限公司,北京-朝阳区,1-1.5万/月,3-4年经验,大专
Python工程师（合肥）,http://jobs.51job.com/hefei/89232199.html?s=01&t=0,成都数联铭品科技有限公司,合肥,0.8-1万/月,,大专
Python开发工程师,http://jobs.51job.com/shenzhen-nsq/88807479.html?s=01&t=0,广东粤数大数据有限公司,深圳-南山区,1-2万/月,3-4年经验,
python开发工程师,http://jobs.51job.com/shanghai-hpq/83883517.html?s=01&t=0,上海微众信息科技有限公司,上海-黄浦区,1.2-1.8万/月,,本科
高级Python开发工程师,http://jobs.51job.com/shanghai-pdxq/76924259.html?s=01&t=0,上海傲硕信息科技有限公司,上海-浦东新区,1.2-1.8万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/shenzhen-nsq/79124210.html?s=01&t=0,深圳市你我金融信息服务股份有限公司,深圳-南山区,1-2.5万/月,,大专
PYTHON应届毕业生,http://jobs.51job.com/shanghai-ptq/90827156.html?s=01&t=0,上海银贤信息科技有限公司,上海-普陀区,6-8千/月,无工作经验,大专
Python高级工程师,http://jobs.51job.com/beijing-xcq/86705573.html?s=01&t=0,北京艾的教育科技股份有限公司,北京-西城区,1-2.5万/月,3-4年经验,本科
python开发工程师,http://jobs.51job.com/shanghai-xhq/77720675.html?s=01&t=0,上海世出商贸有限公司,上海-徐汇区,1.5-2万/月,,
Go/C#/Java/python/C 资深研发工程师,http://jobs.51job.com/wuhan-jhq/79974764.html?s=01&t=0,武汉慧通远达信息技术有限公司,武汉-江汉区,0.8-1.2万/月,,
Python高级开发工程师,http://jobs.51job.com/shenzhen-nsq/88431822.html?s=01&t=0,贝深科技（深圳）有限公司,深圳-南山区,2-2.5万/月,5-7年经验,本科
Python开发工程师,http://jobs.51job.com/beijing-cyq/87292680.html?s=01&t=0,北京钱方银通科技有限公司,北京-朝阳区,1.5-2万/月,3-4年经验,本科
Python开发工程师,http://jobs.51job.com/shanghai-ypq/91286866.html?s=01&t=0,上海恺域信息科技有限公司,上海-杨浦区,1.5-2万/月,3-4年经验,本科
Java开发工程师(python),http://jobs.51job.com/beijing-cyq/90727686.html?s=01&t=0,北京昊合数据科技有限公司,北京-朝阳区,1-1.5万/月,3-4年经验,
Python开发工程师（maya插件）,http://jobs.51job.com/beijing-cpq/87893589.html?s=01&t=0,北京若森数字科技有限公司,北京-昌平区,1-2万/月,,
Python开发工程师,http://jobs.51job.com/shenzhen-ftq/90611649.html?s=01&t=0,广州依时货拉拉科技有限公司深圳分公司,深圳-福田区,1.5-2万/月,3-4年经验,大专
Python开发工程师,http://jobs.51job.com/guangzhou-thq/89957265.html?s=01&t=0,海南元游信息技术有限公司广州分公司,广州-天河区,1-1.5万/月,,
Python/Odoo初级开发工程师,http://jobs.51job.com/shanghai/78612413.html?s=01&t=0,上海企通软件有限公司,上海,6-8千/月,1年经验,
Python开发工程师,http://jobs.51job.com/guangzhou-thq/85516425.html?s=01&t=0,广州市考拉先生网络科技有限公司,广州-天河区,0.8-1.5万/月,2年经验,大专
python工程师,http://jobs.51job.com/chengdu/77274693.html?s=01&t=0,云和恩墨（北京）信息技术有限公司,成都,0.8-1.5万/月,3-4年经验,
Python 开发工程师(大数据方向),http://jobs.51job.com/shenzhen-ftq/86067493.html?s=01&t=0,深圳巨灵信息技术有限公司,深圳-福田区,1-1.6万/月,,
python后端研发工程师,http://jobs.51job.com/beijing-hdq/91786019.html?s=01&t=0,北京英孚泰克信息技术股份有限公司,北京-海淀区,0.8-1万/月,1年经验,本科
开发工程师（Python/C/C++),http://jobs.51job.com/guangzhou-thq/90044610.html?s=01&t=0,广州太乙信息科技有限公司,广州-天河区,0.7-1万/月,2年经验,大专
Python,http://jobs.51job.com/shenzhen/85826084.html?s=01&t=0,深圳易思网络技术有限公司,深圳,20-30万/年,,
Python开发工程师,http://jobs.51job.com/xian-ytq/91223934.html?s=01&t=0,西安网星软件咨询服务有限公司,西安-雁塔区,0.8-1万/月,2年经验,本科
Python/PHP开发工程师,http://jobs.51job.com/guangzhou/86537640.html?s=01&t=0,广州爱拍网络科技有限公司,广州,0.8-1.2万/月,,本科
Python工程师,http://jobs.51job.com/changsha-ylq/84617318.html?s=01&t=0,长沙辰运软件有限公司,长沙-岳麓区,1-1.5万/月,3-4年经验,
Python开发工程师,http://jobs.51job.com/beijing-hdq/84327498.html?s=01&t=0,玩蟹科技,北京-海淀区,1-1.5万/月,,
python开发工程师,http://jobs.51job.com/chengdu-qyq/75043734.html?s=01&t=0,深圳市风云实业有限公司,成都-青羊区,0.5-1万/月,2年经验,本科
Python工程师（爬虫）,http://jobs.51job.com/shenzhen-ftq/90958433.html?s=01&t=0,深圳联金所金融信息服务有限公司,深圳-福田区,0.8-1.3万/月,,大专
Python工程师,http://jobs.51job.com/guangzhou-byq/90098194.html?s=01&t=0,广州棒谷网络科技有限公司,广州-白云区,1-1.5万/月,2年经验,大专
python后台开发工程师,http://jobs.51job.com/shenzhen-nsq/80502637.html?s=01&t=0,深圳市观麦网络科技有限公司,深圳-南山区,1-2万/月,,本科
Python工程师（量化平台）,http://jobs.51job.com/beijing/91518857.html?s=01&t=0,中国金融在线-金融界,北京,1.5-2万/月,3-4年经验,本科
Python开发工程师,http://jobs.51job.com/suzhou-gyyq/85621528.html?s=01&t=0,江苏通付盾科技有限公司,苏州-工业园区,0.8-1.2万/月,,本科
Python后台开发工程师,http://jobs.51job.com/shenzhen-nsq/88882426.html?s=01&t=0,深圳市星鱼科技有限公司,深圳-南山区,1-2.5万/月,2年经验,大专
Python开发工程师,http://jobs.51job.com/ningbo/82579294.html?s=01&t=0,宁波岳润信息科技有限公司,宁波,1-2万/月,1年经验,大专
Python高级开发工程师,http://jobs.51job.com/changsha-ylq/85342823.html?s=01&t=0,湖南动脑信息科技有限公司,长沙-岳麓区,1-2万/月,5-7年经验,
Python Web 工程师,http://jobs.51job.com/guangzhou-hzq/89183059.html?s=01&t=0,广州爱范儿科技股份有限公司,广州-海珠区,0.7-1.4万/月,1年经验,本科
Python开发工程师,http://jobs.51job.com/beijing/86186987.html?s=01&t=0,中联心传（长春）科技有限公司北京分公司,北京,1-2万/月,1年经验,
Python开发工程师,http://jobs.51job.com/guangzhou-byq/90206990.html?s=01&t=0,名医汇,广州-白云区,5-8千/月,3-4年经验,本科
Python开发工程师,http://jobs.51job.com/shanghai-xhq/90634326.html?s=01&t=0,上海大岂网络科技有限公司,上海-徐汇区,1-2万/月,,本科
Python开发工程师+实习生（大数据方向）,http://jobs.51job.com/jingzhou/89272313.html?s=01&t=0,河南智游臻龙教育科技有限公司,荆州,3-4.5千/月,无工作经验,大专
python开发工程师,http://jobs.51job.com/beijing-hdq/84989159.html?s=01&t=0,国广东方网络（北京）有限公司,北京-海淀区,1-1.5万/月,,
Python数据分析师,http://jobs.51job.com/beijing-ftq/90185782.html?s=01&t=0,中国软件与技术服务股份有限公司,北京-丰台区,1-1.5万/月,3-4年经验,本科
数据挖掘工程师(R或Python),http://jobs.51job.com/beijing-hdq/90282345.html?s=01&t=0,博易智软（北京）技术股份有限公司,北京-海淀区,1.5-2万/月,2年经验,本科
python 开发工程师,http://jobs.51job.com/hangzhou-xhq/79507316.html?s=01&t=0,杭州复杂美科技有限公司,杭州-西湖区,1-1.5万/月,,本科
Python运维开发工程师,http://jobs.51job.com/fuzhou/86174622.html?s=01&t=0,福州靠谱云科技有限公司,福州,0.5-1万/月,1年经验,大专
自然语言处理工程师（python java),http://jobs.51job.com/shanghai-pdxq/85284427.html?s=01&t=0,上海茂景声信息科技有限公司,上海-浦东新区,1-1.5万/月,,
python研发工程师,http://jobs.51job.com/beijing/72822859.html?s=01&t=0,北京首都在线科技股份有限公司,北京,0.8-3万/月,,本科
python开发工程师-上海-00095,http://jobs.51job.com/shanghai-hkq/69765009.html?s=01&t=0,通联数据股份公司,上海-虹口区,1.5-2万/月,,
Python工程师（初级）,http://jobs.51job.com/guangzhou-yxq/90831139.html?s=01&t=0,广州永霸信息科技股份有限公司,广州-越秀区,5-8千/月,,本科
python软件工程师,http://jobs.51job.com/nanjing/83927710.html?s=01&t=0,南京辛巴达软件科技有限公司,南京,1-1.5万/月,3-4年经验,大专
Python开发工程师,http://jobs.51job.com/shanghai-pdxq/91481035.html?s=01&t=0,上海汉朔信息科技有限公司,上海-浦东新区,1-1.5万/月,,
Python后端技术经理,http://jobs.51job.com/hangzhou/91166638.html?s=01&t=0,浙江亿教亿学网络科技有限公司,杭州,2-4万/月,8-9年经验,
Python开发工程师,http://jobs.51job.com/shanghai/89716807.html?s=01&t=0,上海南天电脑系统有限公司,上海,1-1.5万/月,,
python数据分析员,http://jobs.51job.com/beijing-dcq/89697939.html?s=01&t=0,北京艾沃仕科技有限公司,北京-东城区,1-1.5万/月,2年经验,本科
