标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
康桥半岛城中花园精装修南北通透图片真实拎包即住,3500,2室2厅2卫,整租,精装修,浦东新区,康桥,105平米,南北,普通住宅,康桥半岛城中花园,秀沿路1028弄                                                    ,2012年,2.16,32%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084831035
上钢四村 精装全配，紧邻78耀华站 周边配套成熟随时拎包入住,1500,2室1厅1卫,合租,精装修,浦东新区,上南,61平米,南,普通住宅,上钢四村,昌里路340弄3-58号                                                    ,1980年,暂无,32%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084553139
比邻中山公园精装月付 无中介 南北通透拎包入住送保洁WiFi,2100,3室1厅1卫,整租,精装修,长宁区,天山,15平米,南,普通住宅,天山河畔花园,水城路883弄                                                    ,2005年,2.5,52%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084402856
9号线出门到 近韩国街 协和双语 漕河泾 虹桥一号！豪装地暖,8920,3室2厅2卫,整租,豪华装修,闵行区,漕宝,134平米,南北,普通住宅,天安豪园,虹莘路3333弄                                                    ,2014年,1.8,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083557748
航华四村三街坊两房精装修紧邻地铁10号线南北通透设备齐全急租,4200,2室1厅1卫,整租,精装修,闵行区,航华,82平米,南,普通住宅,航华四村一二街坊,航华四村1-104号                                                    ,1995年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084708259
主卧张江金科路广兰路押一付一无中介南北通透 实拍图紧邻地铁,2230,3室1厅1卫,整租,精装修,浦东新区,张江,25平米,东,普通住宅,张江汤臣豪园三期,晨晖路828弄                                                    ,2011年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083191957
押一付一 0中介 来电立减 随时入住 实拍图 交通便利,1500,3室1厅1卫,合租,精装修,闵行区,颛桥,17平米,东,普通住宅,南郊别墅(公寓),中春路3455弄                                                    ,2009年,0.68,52%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1079707450
主卧出租来电立押一付一0中介南北通透拎包入住随时入住紧邻地铁,2100,3室1厅1卫,整租,精装修,徐汇区,衡山路,22平米,南,普通住宅,淮海中路新里,淮海中路1672弄                                                    ,2015年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083190880
来住立减无附加费 独立卫生间设施完善 押一付一 免费WIFI,1500,3室1厅1卫,合租,精装修,闵行区,龙柏金汇,17平米,南,普通住宅,龙柏五村,青杉路5弄                                                    ,1999年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083181179
押一付一 0中介 全装全配 独立卫浴 紧邻地铁,3200,2室1厅1卫,合租,豪华装修,闵行区,金虹桥,33平米,南,普通住宅,流晶逸彩虹华苑,虹中路460弄                                                    ,1996年,1.67,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084415439
绿城玉兰花园精装修3房 好房出租 ，11000，品质公寓,11000,3室2厅1卫,整租,精装修,浦东新区,唐镇,106平米,南北,普通住宅,绿城玉兰花园臻园(绿城玉兰花园二期公寓),齐爱路168弄                                                    ,2015年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082958140
凌三小区，婚房精装，近陆家嘴， 小区门口各路公交 ，房东诚意,3000,1室1厅1卫,整租,精装修,浦东新区,洋泾,38平米,南北,普通住宅,凌三小区,浦东大道1695弄                                                    ,1993年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083000349
小房子 大实惠 随时看房 性价比好 。随时入住,2800,1室1卫,整租,中等装修,徐汇区,斜土路,31平米,南,老公房,日晖七村,斜土路1515-11号                                                    ,1987年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084504476
精装全配一房+紧邻地铁6号线+新房出租+小区成熟+拎包入住,2500,1室1厅1卫,整租,精装修,浦东新区,南码头,46平米,南,普通住宅,临沂一村,浦东南路2351弄14-21号                                                    ,1986年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084049729
上南花城 世博滨江区域位置 出门7/8号耀华地铁 随时领包住,4500,2室1厅1卫,整租,精装修,浦东新区,上南,60平米,南,普通住宅,上南花城,耀华路85弄1-10号                                                    ,2002年,1.93,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084584928
来住立减无附加费 独立卫生间设施完善 押一付一 免费WIFI,1920,3室1厅1卫,合租,精装修,长宁区,北新泾,21平米,南,普通住宅,新泾七村,天山西路450弄                                                    ,1995年,1.68,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084410226
近致远，太阳花，灵山幼儿园 精装整租 环境良好 房东诚心,2900,1室1厅1卫,整租,精装修,浦东新区,金杨,46平米,南,普通住宅,金杨新村六街坊,灵山路2000弄                                                    ,1995年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083389932
房东急租 精装修 家电全新 出门就是地铁1、3号线 随时看房,2000,1室1厅1卫,整租,精装修,徐汇区,上海南站,51平米,南,普通住宅,金牛苑,龙川北路800弄                                                    ,2001年,2.3,33%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083799628
精装修大主卧出租 无附加费 设施完善 入住立减房租 押一付一,2000,3室1厅1卫,整租,精装修,浦东新区,世纪公园,21平米,西,普通住宅,牡丹路399弄小区,牡丹路399弄                                                    ,1996年,1.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083189074
"馨宁公寓,包水.电.煤气.宽带.数字电视",1400,2室2厅1卫,合租,中等装修,徐汇区,长桥,20平米,南,普通住宅,馨宁公寓,华发路406弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1086117251
八号线延吉中路地铁口 精装修 拎包住入 全装全配 随时看,4600,2室1厅1卫,整租,精装修,杨浦区,杨浦公园,52平米,南,普通住宅,延吉七村,营口路113弄                                                    ,1987年,1.84,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084539308
房东诚心出租 房型正气 采光十足 交通便捷 紧邻地铁6号线,1000,1室1厅1卫,整租,精装修,闵行区,老闵行,35平米,南北,普通住宅,北欧丽景,沧源路755弄126-190号                                                    ,2000年,1.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083103856
"真如城市中心,紧邻地铁11号线,精装修全配,出租,有钥匙",9000,3室2厅2卫,整租,精装修,普陀区,真如,125平米,南北,普通住宅,高尚领域,曹杨路1518号                                                    ,2013年,暂无,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084787653
华育对面，精装南北两房，实地拍摄，采光充足，有钥匙，可以看房,4600,2室1厅1卫,整租,精装修,徐汇区,华泾,68平米,南,普通住宅,光华绿苑,华展路55弄                                                    ,2003年,暂无,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085382966
金轩大邸+初次出租+自住装修带产权车位+南北通透采光佳+,9500,3室2厅2卫,整租,精装修,虹口区,和平公园,145平米,南,普通住宅,金轩大邸,四平路758弄                                                    ,2007年,3.3,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083468635
黄兴公园站地铁口稀有三房、楼层好、全装全配、随时入住、价格低,5600,3室1厅1卫,整租,中等装修,杨浦区,黄兴公园,86平米,南北,普通住宅,浣纱六村,国顺东路243弄1-26号                                                    ,1995年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085126200
文宝苑精装两房.地铁400米.随时可看.照片真实,3600,2室2厅1卫,整租,精装修,宝山区,顾村,84平米,南,普通住宅,文宝苑,菊联路89弄                                                    ,2007年,1.3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085250123
比邻中山公园精装月付 无中介 南北通透拎包入住送保洁WiFi,2100,3室1厅1卫,合租,精装修,长宁区,天山,15平米,南,普通住宅,天山河畔花园,水城路883弄                                                    ,2005年,2.5,52%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084264989
精装月付 无中介 设施齐全 随时入住 独立卫浴 紧邻地铁,3100,3室1厅1卫,合租,精装修,闵行区,老闵行,33平米,南,普通住宅,合生城邦(四街坊公寓),金平路788弄                                                    ,2011年,1,55%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083230355
出行方便+周边生活配套齐全+可押一付一+小区成熟环境好,3600,2室1厅1卫,整租,精装修,浦东新区,三林南,73平米,南,普通住宅,城林雅苑,林展路267弄                                                    ,2013年,3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084763491
西郊宾馆 西郊名苑 温莎花园 绿谷别墅 玫瑰园,42000,5室3厅4卫,整租,精装修,长宁区,西郊,550平米,南北,别墅,温莎花园,虹桥路2279号                                                    ,1996年,1.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085294208
凌兆新村新出精装修 家电齐全 11号线钥匙房拎包即住交通便利,2400,1室1厅1卫,整租,精装修,浦东新区,三林,50平米,南北,普通住宅,凌兆新村,上浦路36弄                                                    ,1995年,1.3,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085218703
金桥新城精装修主卧带阳台 干净整洁 直接入住 大量房源等你来,1300,1室,合租,精装修,浦东新区,金桥,18平米,南北,普通住宅,金桥新城,东陆路2000弄                                                    ,2002年,1.96,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085989299
（有钥匙）虹梅路近老外街+精装地热大5房+带地下车位诚租中,15800,5室2厅3卫,整租,精装修,闵行区,金虹桥,200平米,南,公寓,虹田苑,虹梅路3318弄                                                    ,2005年,1.4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086050471
梅园四街坊 精装修二房近地铁2469号线 随时看房 拎包住.,4500,2室1厅1卫,整租,精装修,浦东新区,源深,59平米,南北,普通住宅,梅园三街坊,商城路991弄                                                    ,1985年,1.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084830341
万体馆文定天下苑 3室2厅140平米 豪华装修 押一付三,10000,3室2厅2卫,整租,豪华装修,徐汇区,徐家汇,140平米,南,普通住宅,文定天下苑,文定路288弄1-8号                                                    ,2002年,2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083989563
精装修 温馨2房 交通方便 9号线 家具家电全配,5200,2室2厅1卫,整租,精装修,闵行区,七宝,73平米,南,普通住宅,万科城市花园,七莘路3333弄                                                    ,2011年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085784632
家乐苑、沃尔玛对面、直达地铁口、精装双南两房、房东忍痛急租！,3300,2室1厅1卫,整租,中等装修,徐汇区,长桥,65平米,南,普通住宅,家乐苑,上中西路55弄                                                    ,1996年,暂无,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083818240
星河湾专租，二期4房，空房首租，配灯窗帘，家具软装如需也可配,22000,4室2厅4卫,整租,豪华装修,闵行区,春申,276平米,南北,公寓,上海星河湾,都会路3899弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084386368
精装大两房+舒适清爽+繁华地段+靠近地铁一号线+城开中心,3900,2室1厅1卫,整租,精装修,闵行区,古美,100平米,南,普通住宅,古美西路316弄小区,古美西路316弄30-166号                                                    ,1997年,1.2,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083375405
枫林新村上体馆精装房源+装修惊到爆+有图片为证哦,4300,1室1厅1卫,整租,精装修,徐汇区,斜土路,35平米,南,公寓,枫林新村,零陵路250弄1-49号                                                    ,1995年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083502299
金利公寓  原始的一室一厅装修全配 整套出租 适合一家人居住,2700,1室1厅1卫,整租,中等装修,浦东新区,唐镇,60平米,南北,公寓,金利公寓,南曹路901弄                                                    ,2014年,1.34,27%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1081714035
紧邻地铁世纪公园景观房 品质小区 豪华装修 中央空调带地暖,11000,2室2厅2卫,整租,精装修,浦东新区,杨东,125平米,南北,公寓,陆家嘴中央公寓,东绣路99弄                                                    ,2006年,2.1,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081464467
自如真实房源无中介 万立城 11号线上海汽车城地铁站精装,1360,3室1厅1卫,合租,精装修,嘉定区,安亭,15平米,南,普通住宅,万立城(公寓),塔山路399弄                                                    ,2001年,3,31%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083458223
小错层，清爽欧式装修大金中央空调带地暖，拎包即住。,12000,3室2厅2卫,整租,精装修,闵行区,金虹桥,145平米,南北,普通住宅,虹桥紫京苑(公寓),虹梅路3201弄                                                    ,2000年,2,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085424236
中虹华苑南北朝向精装小两房，家电齐全，近万达广场、13号地铁,4000,2室1厅1卫,合租,精装修,嘉定区,江桥,56平米,南北,普通住宅,金鹤新城中虹华苑,金园一路1115弄                                                    ,2007年,1.2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085005849
沪亭北路商业中心，涞寅路品质四小，精装自住，看房预约,3100,1室1厅1卫,整租,精装修,松江区,九亭,55平米,南北,普通住宅,绿庭尚城,涞寅路658弄                                                    ,2010年,1.99,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083769590
文宝苑 近地铁站，交通便利+豪华装修，家电齐全+有钥匙，随时,3300,2室2厅1卫,整租,精装修,宝山区,顾村,77平米,南北,普通住宅,文宝苑,菊联路89弄                                                    ,2007年,1.3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083267193
金浦小区 精装修二房 全新家具电器配置 采光佳 拎包入住,4000,2室1厅1卫,整租,精装修,浦东新区,塘桥,60平米,南北,普通住宅,金浦小区(塘桥),浦建路207弄                                                    ,1995年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082708101
地铁口电梯房，生活交通便利，精致单间，有空调哦，赶紧行动吧,1000,1室1厅1卫,整租,精装修,浦东新区,唐镇,28平米,南,公寓,创新佳苑,创新中路180弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082676841
对口明强总校，自带启英幼儿园，全明户型，陪读佳选,4500,2室1厅1卫,整租,精装修,闵行区,七宝,75平米,南北,普通住宅,茂盛花园,新镇路1036弄                                                    ,1998年,1.2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085553907
给我一个机会带你看房 我还你一个温暖的家 我在V领地等你,2980,1室1厅1卫,整租,精装修,闵行区,金虹桥,28平米,南,公寓,虹桥别墅,虹梅路3081号                                                    ,2008年,暂无,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083504415
近地铁7号线 南北通透 小区环境优,6500,2室2厅1卫,整租,精装修,浦东新区,北蔡,84平米,南,公寓,大华锦绣华城四街区(振东花苑),北艾路1765弄                                                    ,2011年,1.39,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085368054
万科有山 精装洋房 开发商统装紧致二房 随时看房整租,4100,2室2厅1卫,整租,精装修,青浦区,赵巷,76平米,南北,普通住宅,万科有山,置旺路288弄                                                    ,2014年,1.02,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080922730
地铁6/12号线+精装全配单间1500+出租拎包入住+押一付,1500,1室1厅1卫,整租,精装修,浦东新区,高行,20平米,南,普通住宅,证大家园(一期),巨峰路667弄                                                    ,2003年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085853376
同润山河小城50平米，依山傍水，风景优美,2500,1室1厅1卫,整租,精装修,松江区,泗泾,50平米,南,普通住宅,同润山河小城,古楼公路1198弄                                                    ,2012年,1.5,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083210377
紧邻地铁3/4/7号线+成熟社区+全装全配+随时拎包入住,4000,1室1厅1卫,整租,精装修,普陀区,光新,60平米,南,公寓,太浜巷小区,中山北路赵家宅1-29号                                                    ,1986年,2.1,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083092895
张江金科路广兰路押一付一无中介南北通透 实拍图紧邻地铁,2050,3室1厅1卫,合租,精装修,浦东新区,张东路,23平米,南,普通住宅,樟盛苑,盛夏路738弄1-35号                                                    ,2013年,2.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084408070
全明户型采光好通风性好原自住紧邻地铁2469号线2号口有钥匙,3700,1室1厅1卫,整租,精装修,浦东新区,源深,42平米,南,普通住宅,梅园五街坊,福山路111弄                                                    ,1986年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086055530
《徐汇万体馆》《2室2厅》《高区楼层》《南北通》《豪华装修》,10000,2室2厅2卫,整租,豪华装修,徐汇区,徐家汇,118平米,南,公寓,鑫国家园,零陵路777弄68-88号                                                    ,2001年,2.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082946775
龙柏四村，十号线地铁精装修一房，业主直租，紧急出租,3500,1室1厅1卫,整租,精装修,闵行区,龙柏金汇,50平米,南,普通住宅,龙柏四村,龙柏四村10-153号                                                    ,1999年,1.8,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085152181
免租一个月、婚房装修+地暖、安管贴心、包物业、仅租4000元,4000,2室2厅1卫,整租,精装修,松江区,九亭,85平米,南北,普通住宅,贝尚湾(公寓),沪亭北路338弄                                                    ,2008年,1.5,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081652953
静安寺地铁站 豪装酒店式公寓 进口家具 畅想真正的浪漫生活,4500,1室1厅1卫,整租,豪华装修,静安区,静安寺,60平米,南,公寓,世纪时空酒店式公寓,乌鲁木齐北路199号                                                    ,2004年,3.1,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084983950
精装两房 采光充足 真实图片 低于市场 看房方便 价拎包入住,4900,2室1厅1卫,整租,精装修,闵行区,古北(闵行),58平米,南,普通住宅,古北新城,吴中路585弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082277458
都市宜家精装修三房拎包入住房东长期出租看房随时可押一付一,4000,3室2厅2卫,整租,精装修,闵行区,春申,130平米,南北,普通住宅,都市宜家,虹梅南路1661弄                                                    ,2004年,1.6,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084049466
五角场财经复旦大学精装3房，近10号线地铁，带电梯，,8500,3室2厅1卫,整租,精装修,杨浦区,江湾体育场,100平米,南,普通住宅,新江湾佳苑,政立路505弄                                                    ,2009年,1.2,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082976544
三房 居家装修成熟小区 6/7/8线紧邻 随时看房 价格好谈,6500,3室2厅2卫,整租,精装修,浦东新区,上南,137平米,南,普通住宅,上南花城,耀华路87弄                                                    ,2002年,1.93,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085632881
龙柏四村三小区精装大一房 眼前一亮 近地铁紫藤路站 配套齐全,6000,1室2厅1卫,整租,精装修,闵行区,龙柏金汇,69平米,南,普通住宅,龙柏四村三小区,龙柏四村154-232号                                                    ,1996年,1.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1079238173
长期出租1/7号线 闸北（主卧带卫 主卧 次卧 隔间）拎包住,1700,3室1厅1卫,合租,精装修,静安区,永和,19平米,南,公寓,永和一村,汶水路649弄                                                    ,1995年,暂无,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082841040
随时入住 看房有钥匙 交通方便 植物园 配置齐全整租整租,3500,2室1厅1卫,整租,精装修,徐汇区,植物园,58平米,南北,普通住宅,园南三村,百色路451号                                                    ,1994年,2,28%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083329012
出租 东方城市绿洲 2号线旁 电梯高楼层 三室一厅3500每,3500,3室1厅1卫,整租,豪华装修,浦东新区,川沙,95平米,南北,普通住宅,东方城市绿洲,城丰路599号                                                    ,2009年,1.6,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084816195
（公馆77达人）（二房出租）（高档小区）（地铁8910号线）,12000,2室2厅1卫,整租,豪华装修,黄浦区,老西门,105平米,南,公寓,公馆77,建国新路77弄                                                    ,2011年,3.2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1079619315
