标题,房型,房租,房租单位,地址
单间 | 新房出租 小区快速直达地铁 精装修家具家电齐全 看房,主卧(1室)                    20㎡,1800,元/月
整租 | 世博家园十一街坊+2室2厅1卫+完善配套+便利交通,2室2厅1卫                    80㎡,4500,元/月
整租 | 松江万达写字楼 一房带独立办公室 租客转租 只有一套,1室1厅1卫                    78㎡,3800,元/月
整租 | 零，交通便利，拎包入住，房东直租，7号杨锦绣路,1室0厅1卫                    25㎡,2000,元/月
整租 | 湖畔尚品.精装修.开元地中海东鼎购物中心.近9号线新,1室0厅1卫                    45㎡,2000,元/月
整租 | 双气房 朝南户型 采光非常好 精装修 家具家电齐全,3室2厅2卫                    116㎡,7000,元/月
单间 | 拎包入住，陈春路88弄小区，设施齐全，近地铁芳华路站,次卧(1室)                    16㎡,1200,元/月
整租 | 离地铁1500米 性价比高 适合入住舒适两房 干净整,2室2厅1卫                    74㎡,2800,元/月
整租 | 三湘四季花城+近地铁九号线+交通便利+设施齐全+繁华,1室1厅1卫                    64㎡,3700,元/月
单间 | 全配朝南1700元/月 即住 免费搬家,主卧(1室)                    68㎡,1700,元/月
标题,房型,房租,房租单位,地址
单间 | 新房出租 小区快速直达地铁 精装修家具家电齐全 看房,主卧(1室)                    20㎡,1800,元/月
"整租 | 象源丽都,新鲜挂牌,附近有地铁,温馨之家",1室1厅1卫                    59㎡,4300,元/月
"整租 | 地铁4号线,朝南带飘窗,房型正气,温馨公主房,拎包入",1室1厅1卫                    45㎡,3800,元/月
整租 | 梅六小区 精装两房 近13号真北站 红星美凯龙 押一,2室1厅1卫                    73㎡,4000,元/月
整租 | 紧邻地铁，适合欧尚超市，长海医院，五角场合生汇，黄兴,2室1厅1卫                    58㎡,4200,元/月
整租 | 全明户型 自住精装房 押一付一 小区环境好 配套齐全,1室1厅1卫                    31㎡,2200,元/月
整租 | 地铁6号线 金桥 全新精装一室 独厨独卫 随时看房,1室0厅1卫                    15㎡,1400,元/月
整租 | 7芳华路 巴黎春天 独立一室户 精装修 独卫浴,1室1厅1卫                    18㎡,2000,元/月
整租 | 新浦江城豪华单间，适合白领居住，随时看房。拎包入住,1室1厅1卫                    50㎡,3500,元/月
"整租 | 香楠小区,全新装修,家电齐全,采光好,设施齐全,整租",1室1厅1卫                    35㎡,2500,元/月
整租 | 万寿新村2房  采光好,2室1厅1卫                    58㎡,1900,元/月
整租 | 7号线锦绣路地铁站 大华锦绣华城十二街区 3室2卫2,3室2厅2卫                    149㎡,6570,元/月
整租 | 懂你的房源 都在这里 地铁11号线秀沿路站 看房方便,3室1厅1卫                    89㎡,4600,元/月
"整租 | 家乐福超市150米，电影院，ktv ,餐厅一应俱全。",3室2厅2卫                    103㎡,5300,元/月
整租 | 精品公寓 精装整租 配置齐全 2号线 拎包入住 付1,1室1厅1卫                    30㎡,2580,元/月
整租 | 九城湖滨，精装小两房，配套齐全，拎包入住！,2室2厅1卫                    70㎡,4000,元/月
整租 | 整租精装一房 6号线地铁旁 直租 有独立卫浴 可短租,1室1厅1卫                    35㎡,1850,元/月
"整租 | 新天地,翠湖天地苑,翠湖大平层,起租业主配全套达芬奇",4室2厅1卫                    366㎡,37000,元/月
单间 | 靠近地铁九号线~交通便利~家具齐全~拎包入住,次卧(4室)                    30㎡,1600,元/月
整租 | 新出地铁房，楼下直通超市、地铁、公交总站，价格真实可,1室1厅1卫                    41㎡,2400,元/月
整租 | 您刚好需要，我刚好专业，为您找一个温馨的家，看房提前,1室1厅1卫                    54㎡,4500,元/月
整租 | 卢湾、打浦桥、上门实拍、近4/9/13号线、老房东全,1室0厅1卫                    28㎡,2600,元/月
"单间 | 汤巷馨村1900全新一室户,可支付,房东直租",主卧(2室)                    23㎡,1900,元/月
整租 | 幸福小镇 3房1厅 精装全配 出租 随时入住,3室1厅1卫                    110㎡,6500,元/月
单间 | 浦江东旭公寓 家私家电齐 干净舒适漂亮 屋子通风采光,主卧(1室)                    20㎡,1400,元/月
整租 | 明天华城 精装修南北通透 朝向 图片真实 拎包即住,2室2厅1卫                    95㎡,3800,元/月
整租 | 全新家具家电，舒适的居住环境，成熟的生活商圈，万达广,1室1厅1卫                    42㎡,2000,元/月
单间 | 老外街 新出合租房 临地铁 菜场 好房子 就等你了,主卧(3室)                    15㎡,1800,元/月
整租 | 开鲁四村 精装修 带固定车位 正规一室一厅 小区,1室1厅1卫                    43㎡,4000,元/月
整租 | 世博家园十一街坊+2室2厅1卫+完善配套+便利交通,2室2厅1卫                    80㎡,4500,元/月
整租 | 松江万达写字楼 一房带独立办公室 租客转租 只有一套,1室1厅1卫                    78㎡,3800,元/月
整租 | 零，交通便利，拎包入住，房东直租，7号杨锦绣路,1室0厅1卫                    25㎡,2000,元/月
整租 | 湖畔尚品.精装修.开元地中海东鼎购物中心.近9号线新,1室0厅1卫                    45㎡,2000,元/月
整租 | 双气房 朝南户型 采光非常好 精装修 家具家电齐全,3室2厅2卫                    116㎡,7000,元/月
单间 | 拎包入住，陈春路88弄小区，设施齐全，近地铁芳华路站,次卧(1室)                    16㎡,1200,元/月
整租 | 离地铁1500米 性价比高 适合入住舒适两房 干净整,2室2厅1卫                    74㎡,2800,元/月
整租 | 三湘四季花城+近地铁九号线+交通便利+设施齐全+繁华,1室1厅1卫                    64㎡,3700,元/月
单间 | 全配朝南1700元/月 即住 免费搬家,主卧(1室)                    68㎡,1700,元/月
标题,房型,房租,房租单位,地址
单间 | 新房出租 小区快速直达地铁 精装修家具家电齐全 看房,主卧(1室)                    20㎡,1800,元/月
"整租 | 象源丽都,新鲜挂牌,附近有地铁,温馨之家",1室1厅1卫                    59㎡,4300,元/月
"整租 | 地铁4号线,朝南带飘窗,房型正气,温馨公主房,拎包入",1室1厅1卫                    45㎡,3800,元/月
整租 | 梅六小区 精装两房 近13号真北站 红星美凯龙 押一,2室1厅1卫                    73㎡,4000,元/月
整租 | 紧邻地铁，适合欧尚超市，长海医院，五角场合生汇，黄兴,2室1厅1卫                    58㎡,4200,元/月
整租 | 全明户型 自住精装房 押一付一 小区环境好 配套齐全,1室1厅1卫                    31㎡,2200,元/月
整租 | 地铁6号线 金桥 全新精装一室 独厨独卫 随时看房,1室0厅1卫                    15㎡,1400,元/月
整租 | 7芳华路 巴黎春天 独立一室户 精装修 独卫浴,1室1厅1卫                    18㎡,2000,元/月
整租 | 新浦江城豪华单间，适合白领居住，随时看房。拎包入住,1室1厅1卫                    50㎡,3500,元/月
"整租 | 香楠小区,全新装修,家电齐全,采光好,设施齐全,整租",1室1厅1卫                    35㎡,2500,元/月
整租 | 万寿新村2房  采光好,2室1厅1卫                    58㎡,1900,元/月
整租 | 7号线锦绣路地铁站 大华锦绣华城十二街区 3室2卫2,3室2厅2卫                    149㎡,6570,元/月
整租 | 懂你的房源 都在这里 地铁11号线秀沿路站 看房方便,3室1厅1卫                    89㎡,4600,元/月
"整租 | 家乐福超市150米，电影院，ktv ,餐厅一应俱全。",3室2厅2卫                    103㎡,5300,元/月
整租 | 精品公寓 精装整租 配置齐全 2号线 拎包入住 付1,1室1厅1卫                    30㎡,2580,元/月
整租 | 九城湖滨，精装小两房，配套齐全，拎包入住！,2室2厅1卫                    70㎡,4000,元/月
整租 | 整租精装一房 6号线地铁旁 直租 有独立卫浴 可短租,1室1厅1卫                    35㎡,1850,元/月
"整租 | 新天地,翠湖天地苑,翠湖大平层,起租业主配全套达芬奇",4室2厅1卫                    366㎡,37000,元/月
单间 | 靠近地铁九号线~交通便利~家具齐全~拎包入住,次卧(4室)                    30㎡,1600,元/月
整租 | 新出地铁房，楼下直通超市、地铁、公交总站，价格真实可,1室1厅1卫                    41㎡,2400,元/月
整租 | 您刚好需要，我刚好专业，为您找一个温馨的家，看房提前,1室1厅1卫                    54㎡,4500,元/月
整租 | 卢湾、打浦桥、上门实拍、近4/9/13号线、老房东全,1室0厅1卫                    28㎡,2600,元/月
"单间 | 汤巷馨村1900全新一室户,可支付,房东直租",主卧(2室)                    23㎡,1900,元/月
整租 | 幸福小镇 3房1厅 精装全配 出租 随时入住,3室1厅1卫                    110㎡,6500,元/月
单间 | 浦江东旭公寓 家私家电齐 干净舒适漂亮 屋子通风采光,主卧(1室)                    20㎡,1400,元/月
整租 | 明天华城 精装修南北通透 朝向 图片真实 拎包即住,2室2厅1卫                    95㎡,3800,元/月
整租 | 全新家具家电，舒适的居住环境，成熟的生活商圈，万达广,1室1厅1卫                    42㎡,2000,元/月
单间 | 老外街 新出合租房 临地铁 菜场 好房子 就等你了,主卧(3室)                    15㎡,1800,元/月
整租 | 开鲁四村 精装修 带固定车位 正规一室一厅 小区,1室1厅1卫                    43㎡,4000,元/月
整租 | 世博家园十一街坊+2室2厅1卫+完善配套+便利交通,2室2厅1卫                    80㎡,4500,元/月
整租 | 松江万达写字楼 一房带独立办公室 租客转租 只有一套,1室1厅1卫                    78㎡,3800,元/月
整租 | 零，交通便利，拎包入住，房东直租，7号杨锦绣路,1室0厅1卫                    25㎡,2000,元/月
整租 | 湖畔尚品.精装修.开元地中海东鼎购物中心.近9号线新,1室0厅1卫                    45㎡,2000,元/月
整租 | 双气房 朝南户型 采光非常好 精装修 家具家电齐全,3室2厅2卫                    116㎡,7000,元/月
单间 | 拎包入住，陈春路88弄小区，设施齐全，近地铁芳华路站,次卧(1室)                    16㎡,1200,元/月
整租 | 离地铁1500米 性价比高 适合入住舒适两房 干净整,2室2厅1卫                    74㎡,2800,元/月
整租 | 三湘四季花城+近地铁九号线+交通便利+设施齐全+繁华,1室1厅1卫                    64㎡,3700,元/月
单间 | 全配朝南1700元/月 即住 免费搬家,主卧(1室)                    68㎡,1700,元/月
标题,房型,房租,房租单位,地址
标题,房型,房租,房租单位,地址
标题,房型,房租,房租单位,地址
"整租 | 彭浦新村恒安小区房屋出租,两室一厅,随时看房",2室1厅1卫                    69㎡,4500,元/月
整租 | 控江路896弄整租，8号线，无中介，房源真实，看房方,1室1厅1卫                    40㎡,3700,元/月
整租 | 闸北吾乡公寓开业大酬宾 家一般的感觉 真实照片 无,1室1厅1卫                    25㎡,2800,元/月
单间 | 春申押一付一宜家装修送保洁WiFi地铁周边直租随时入,主卧(3室)                    26㎡,2475,元/月
单间 | 华川家园朝南房间采光好空间大，小区绿化好,(4室)                    16㎡,1000,元/月
单间 | 770、178公交沿线 阳光公寓干净清爽 价格实惠朝,隔断(2室)                    11㎡,850,元/月
整租 | 颛溪五村 1室1卫1厅,1室1厅1卫                    51㎡,3500,元/月
整租 | 底价出租南北通透3室绿地威廉公寓采光好拎包随时就可以,3室2厅2卫                    122㎡,5500,元/月
单间 | 莲溪三村(480弄) 次卧出租，限女生，个人无,次卧(3室)                    20㎡,1750,元/月
整租 | 江桥佳苑 1室1厅1卫,1室1厅1卫                    45㎡,2500,元/月
整租 | 张江镇上的一房，离金科路地铁和广兰路地铁都很近,1室1厅1卫                    37㎡,3200,元/月
整租 | 菊盛路50弄 2室2厅 75平米 精装修 押一付三,2室2厅1卫                    75㎡,3600,元/月
整租 | 永和一村 近市北工业园 仅靠易初莲花超市 家具全配,1室1厅1卫                    45㎡,3900,元/月
单间 | 闵行丽园小区闵行-江川路主卧900元/月,主卧(2室)                    18㎡,900,元/月
单间 | 嘉定嘉定城区迎园新村三坊 2室1厅 主卧,主卧(2室)                    67㎡,1000,元/月
"单间 | 3号线附近，包水电，石墙小间,场中路口江杨南路55弄",次卧(4室以上)                    8㎡,850,元/月
整租 | 房子合适不合适 点进来看看就知道 不会让您失望！,2室1厅1卫                    63㎡,5800,元/月
整租 | 近地铁9号线，不仅可以带你看房，还可以带你打王zhe,1室1厅1卫                    46㎡,3400,元/月
整租 | 黄浦滨江奢华大三房+采光好+业主首租+地铁9号线小南,3室2厅2卫                    155㎡,14000,元/月
整租 | 城市经典玉墅豪华装修，独特的风格，有内涵，临近地铁随,5室2厅3卫                    196㎡,25000,元/月
整租 | 夜景房 精装全配 空关 拎包入住 随时看房,2室2厅1卫                    81㎡,4890,元/月
单间 | 金浦花园 降价了。,主卧(3室)                    167㎡,2900,元/月
单间 | 福赐花苑 押一付一 单身公寓 近D铁 三号 看房方便,主卧(2室)                    103㎡,2500,元/月
单间 | 万科城市花园 2室2厅2卫 男女不限,次卧(2室)                    120㎡,3500,元/月
整租 | 嘉诚倾力打造露香园 豪华装修全屋地暖干净清爽 有会所,3室2厅3卫                    260㎡,25000,元/月
单间 | 次卧出租，家电齐全，无，随时看房,次卧(2室)                    89㎡,650,元/月
整租 | 秀怡苑 3室1厅1卫,3室1厅1卫                    95㎡,4600,元/月
整租 | 复地北桥城 联排别墅 厅大带地下室 近地铁5号线 随,3室2厅2卫                    280㎡,6000,元/月
单间 | 个人，主卧，不讲价,主卧(4室)                    167㎡,3500,元/月
单间 | 卫春三街坊 单间出租，朝南次卧，独卫 限女生,次卧(3室)                    25㎡,1450,元/月
整租 | 逸居公寓 1室1卫0厅,1室0厅1卫                    20㎡,1800,元/月
整租 | 新芦苑-A区 2室1厅1卫,2室1厅1卫                    82㎡,900,元/月
整租 | 只做真实的房源，新出好房 一日必租 一房精装全配 4,1室1厅1卫                    43㎡,3000,元/月
单间 | 房间现代简约风格装修/干净清爽/品质公寓品牌保证 贴,主卧(3室)                    23㎡,1199,元/月
整租 | 紧缺房源 物业管理完善 环境优雅 绿化设施全 拎包入,2室1厅2卫                    52㎡,3100,元/月
单间 | 佳安公寓求合租舍友,次卧(2室)                    68㎡,3300,元/月
"整租 | 川沙城区 精装全配2房朝南,次出租,石皮路4楼 附图",2室1厅1卫                    68㎡,3100,元/月
单间 | 次卧，小房间，价格低,次卧(4室)                    168㎡,1999,元/月
单间 | 闵行春申绿地春申花园 3室2厅 次卧 朝东 精装修,次卧(3室)                    18㎡,1900,元/月
整租 | 瑞凯丽庭(770弄 2室1厅1卫,2室1厅1卫                    64㎡,3000,元/月
单间 | 主卧朝南带阳台精装修全配可直接拎包入住,主卧(3室)                    18㎡,1100,元/月
整租 | 优质两房，豪华装修，家电齐全，拧包入住,2室1厅1卫                    76㎡,2100,元/月
整租 | 昌鑫时代绿园精装两房 配套齐全 拎包入住 随时看房,2室1厅1卫                    70㎡,3600,元/月
整租 | 房东急租底价出租仅此一套紧邻地，铁6/7/8号，线随,2室1厅1卫                    68㎡,4500,元/月
单间 | 采光大气别样的温馨如家的温暖实体主、次卧1200-1,主卧(3室)                    20㎡,1600,元/月
单间 | 多余的一个房间低价出租（可适当面议）非中介，房间所见,次卧(3室)                    12㎡,1000,元/月
"整租 | 精装全配2房出租 只要1700一个月,房东人很好!拎",2室2厅1卫                    88㎡,1700,元/月
单间 | 个人三号线大柏树5分钟可做饭有阳台,主卧(2室)                    25㎡,1150,元/月
单间 | 曹杨花苑北区 11号线上海西站 主卧朝南 大空间 如,主卧(3室)                    18㎡,2000,元/月
单间 | 闵行古美罗阳康健丽都 3室2厅 次卧 朝南 精装修,次卧(3室)                    20㎡,2080,元/月
整租 | 汇东村 7室1厅3卫,7室1厅3卫                    200㎡,6000,元/月
整租 | 上南五村 靠近地铁7.8号线 全明户型 精装修 可押,1室1厅1卫                    40㎡,2300,元/月
整租 | 微租公寓 租金1030元新出独厨独卫精装一室户 7号,1室0厅1卫                    15㎡,1030,元/月
单间 | 玉兰香苑四期 1室1厅1卫 限男生,主卧(1室)                    20㎡,900,元/月
整租 | 精装一房，家具全套，出门地铁，商圈成熟，拎包入住，诚,1室1厅1卫                    41㎡,3200,元/月
整租 | 卓越世纪中心 楼下商业街 周边百联苏宁 临近地铁 拎,2室1厅2卫                    47㎡,1700,元/月
整租 | 近马路地铁站.麦德龙.育才中学.育英街.精装全配.拎,3室2厅1卫                    88㎡,5000,元/月
整租 | 价格可以谈 房东叔叔很好说话的 家具电器都好用的 拎,1室1厅1卫                    50㎡,3500,元/月
单间 | 金群苑 2室1厅1卫 找合租室友,次卧(2室)                    20㎡,1600,元/月
整租 | 十号线龙柏新村站精装修大一房随时看房随时入住欢迎致电,1室1厅1卫                    40㎡,3500,元/月
整租 | 车站新村精装修一房紧靠上海西站地铁十一号线随时拎包入,2室1厅1卫                    64㎡,6400,元/月
整租 | 贺桥公寓 2室2厅1卫,2室2厅1卫                    95㎡,3000,元/月
整租 | 精装全配两房，紧邻地铁8/13号线，随时看房，拎包入,2室1厅1卫                    56㎡,3100,元/月
整租 | 荣德别墅 6室3厅4卫,6室3厅4卫                    300㎡,18000,元/月
整租 | 金和佳园 2室2厅1卫,2室2厅1卫                    87.5㎡,5200,元/月
整租 | 地铁南浦大桥站 温馨舒适 拎包入住 房型正气 朝南采,1室1厅1卫                    41㎡,3200,元/月
整租 | 高行1室一个有美、有艺术、有生活、唯独没有压力的居住,1室0厅1卫                    25㎡,1800,元/月
整租 | 7号13号长寿路地铁口+小区干净卫生+朝南户型,1室1厅1卫                    40㎡,4800,元/月
整租 | 整租 新出房源 天极盛宅花园 二室二厅一卫 家具家电,2室2厅1卫                    80㎡,2200,元/月
整租 | 汇元坊 2室1卫2厅,2室2厅1卫                    100㎡,9500,元/月
整租 | 莲康苑 1室1厅1卫,1室1厅1卫                    58㎡,3500,元/月
整租 | 古桐公寓 2室2卫1厅,2室1厅2卫                    78㎡,1600,元/月
单间 | 闵行古美罗阳江南星城叠翠 3室2厅 主卧 朝南 精装,主卧(3室)                    20㎡,2580,元/月
标题,房型,房租,房租单位,地址
"整租 | 彭浦新村恒安小区房屋出租,两室一厅,随时看房",2室1厅1卫                    69㎡,4500,元/月
整租 | 控江路896弄整租，8号线，无中介，房源真实，看房方,1室1厅1卫                    40㎡,3700,元/月
整租 | 闸北吾乡公寓开业大酬宾 家一般的感觉 真实照片 无,1室1厅1卫                    25㎡,2800,元/月
单间 | 春申押一付一宜家装修送保洁WiFi地铁周边直租随时入,主卧(3室)                    26㎡,2475,元/月
单间 | 华川家园朝南房间采光好空间大，小区绿化好,(4室)                    16㎡,1000,元/月
单间 | 770、178公交沿线 阳光公寓干净清爽 价格实惠朝,隔断(2室)                    11㎡,850,元/月
整租 | 颛溪五村 1室1卫1厅,1室1厅1卫                    51㎡,3500,元/月
整租 | 底价出租南北通透3室绿地威廉公寓采光好拎包随时就可以,3室2厅2卫                    122㎡,5500,元/月
单间 | 莲溪三村(480弄) 次卧出租，限女生，个人无,次卧(3室)                    20㎡,1750,元/月
整租 | 江桥佳苑 1室1厅1卫,1室1厅1卫                    45㎡,2500,元/月
整租 | 张江镇上的一房，离金科路地铁和广兰路地铁都很近,1室1厅1卫                    37㎡,3200,元/月
整租 | 菊盛路50弄 2室2厅 75平米 精装修 押一付三,2室2厅1卫                    75㎡,3600,元/月
整租 | 永和一村 近市北工业园 仅靠易初莲花超市 家具全配,1室1厅1卫                    45㎡,3900,元/月
单间 | 闵行丽园小区闵行-江川路主卧900元/月,主卧(2室)                    18㎡,900,元/月
单间 | 嘉定嘉定城区迎园新村三坊 2室1厅 主卧,主卧(2室)                    67㎡,1000,元/月
"单间 | 3号线附近，包水电，石墙小间,场中路口江杨南路55弄",次卧(4室以上)                    8㎡,850,元/月
整租 | 房子合适不合适 点进来看看就知道 不会让您失望！,2室1厅1卫                    63㎡,5800,元/月
整租 | 近地铁9号线，不仅可以带你看房，还可以带你打王zhe,1室1厅1卫                    46㎡,3400,元/月
整租 | 黄浦滨江奢华大三房+采光好+业主首租+地铁9号线小南,3室2厅2卫                    155㎡,14000,元/月
整租 | 城市经典玉墅豪华装修，独特的风格，有内涵，临近地铁随,5室2厅3卫                    196㎡,25000,元/月
整租 | 夜景房 精装全配 空关 拎包入住 随时看房,2室2厅1卫                    81㎡,4890,元/月
单间 | 金浦花园 降价了。,主卧(3室)                    167㎡,2900,元/月
单间 | 福赐花苑 押一付一 单身公寓 近D铁 三号 看房方便,主卧(2室)                    103㎡,2500,元/月
单间 | 万科城市花园 2室2厅2卫 男女不限,次卧(2室)                    120㎡,3500,元/月
整租 | 嘉诚倾力打造露香园 豪华装修全屋地暖干净清爽 有会所,3室2厅3卫                    260㎡,25000,元/月
单间 | 次卧出租，家电齐全，无，随时看房,次卧(2室)                    89㎡,650,元/月
整租 | 秀怡苑 3室1厅1卫,3室1厅1卫                    95㎡,4600,元/月
整租 | 复地北桥城 联排别墅 厅大带地下室 近地铁5号线 随,3室2厅2卫                    280㎡,6000,元/月
单间 | 个人，主卧，不讲价,主卧(4室)                    167㎡,3500,元/月
单间 | 卫春三街坊 单间出租，朝南次卧，独卫 限女生,次卧(3室)                    25㎡,1450,元/月
整租 | 逸居公寓 1室1卫0厅,1室0厅1卫                    20㎡,1800,元/月
整租 | 新芦苑-A区 2室1厅1卫,2室1厅1卫                    82㎡,900,元/月
整租 | 只做真实的房源，新出好房 一日必租 一房精装全配 4,1室1厅1卫                    43㎡,3000,元/月
单间 | 房间现代简约风格装修/干净清爽/品质公寓品牌保证 贴,主卧(3室)                    23㎡,1199,元/月
整租 | 紧缺房源 物业管理完善 环境优雅 绿化设施全 拎包入,2室1厅2卫                    52㎡,3100,元/月
单间 | 佳安公寓求合租舍友,次卧(2室)                    68㎡,3300,元/月
"整租 | 川沙城区 精装全配2房朝南,次出租,石皮路4楼 附图",2室1厅1卫                    68㎡,3100,元/月
单间 | 次卧，小房间，价格低,次卧(4室)                    168㎡,1999,元/月
单间 | 闵行春申绿地春申花园 3室2厅 次卧 朝东 精装修,次卧(3室)                    18㎡,1900,元/月
整租 | 瑞凯丽庭(770弄 2室1厅1卫,2室1厅1卫                    64㎡,3000,元/月
单间 | 主卧朝南带阳台精装修全配可直接拎包入住,主卧(3室)                    18㎡,1100,元/月
整租 | 优质两房，豪华装修，家电齐全，拧包入住,2室1厅1卫                    76㎡,2100,元/月
整租 | 昌鑫时代绿园精装两房 配套齐全 拎包入住 随时看房,2室1厅1卫                    70㎡,3600,元/月
整租 | 房东急租底价出租仅此一套紧邻地，铁6/7/8号，线随,2室1厅1卫                    68㎡,4500,元/月
单间 | 采光大气别样的温馨如家的温暖实体主、次卧1200-1,主卧(3室)                    20㎡,1600,元/月
单间 | 多余的一个房间低价出租（可适当面议）非中介，房间所见,次卧(3室)                    12㎡,1000,元/月
"整租 | 精装全配2房出租 只要1700一个月,房东人很好!拎",2室2厅1卫                    88㎡,1700,元/月
单间 | 个人三号线大柏树5分钟可做饭有阳台,主卧(2室)                    25㎡,1150,元/月
单间 | 曹杨花苑北区 11号线上海西站 主卧朝南 大空间 如,主卧(3室)                    18㎡,2000,元/月
单间 | 闵行古美罗阳康健丽都 3室2厅 次卧 朝南 精装修,次卧(3室)                    20㎡,2080,元/月
整租 | 汇东村 7室1厅3卫,7室1厅3卫                    200㎡,6000,元/月
整租 | 上南五村 靠近地铁7.8号线 全明户型 精装修 可押,1室1厅1卫                    40㎡,2300,元/月
整租 | 微租公寓 租金1030元新出独厨独卫精装一室户 7号,1室0厅1卫                    15㎡,1030,元/月
单间 | 玉兰香苑四期 1室1厅1卫 限男生,主卧(1室)                    20㎡,900,元/月
整租 | 精装一房，家具全套，出门地铁，商圈成熟，拎包入住，诚,1室1厅1卫                    41㎡,3200,元/月
整租 | 卓越世纪中心 楼下商业街 周边百联苏宁 临近地铁 拎,2室1厅2卫                    47㎡,1700,元/月
整租 | 近马路地铁站.麦德龙.育才中学.育英街.精装全配.拎,3室2厅1卫                    88㎡,5000,元/月
整租 | 价格可以谈 房东叔叔很好说话的 家具电器都好用的 拎,1室1厅1卫                    50㎡,3500,元/月
单间 | 金群苑 2室1厅1卫 找合租室友,次卧(2室)                    20㎡,1600,元/月
整租 | 十号线龙柏新村站精装修大一房随时看房随时入住欢迎致电,1室1厅1卫                    40㎡,3500,元/月
整租 | 车站新村精装修一房紧靠上海西站地铁十一号线随时拎包入,2室1厅1卫                    64㎡,6400,元/月
整租 | 贺桥公寓 2室2厅1卫,2室2厅1卫                    95㎡,3000,元/月
整租 | 精装全配两房，紧邻地铁8/13号线，随时看房，拎包入,2室1厅1卫                    56㎡,3100,元/月
整租 | 荣德别墅 6室3厅4卫,6室3厅4卫                    300㎡,18000,元/月
整租 | 金和佳园 2室2厅1卫,2室2厅1卫                    87.5㎡,5200,元/月
整租 | 地铁南浦大桥站 温馨舒适 拎包入住 房型正气 朝南采,1室1厅1卫                    41㎡,3200,元/月
整租 | 高行1室一个有美、有艺术、有生活、唯独没有压力的居住,1室0厅1卫                    25㎡,1800,元/月
整租 | 7号13号长寿路地铁口+小区干净卫生+朝南户型,1室1厅1卫                    40㎡,4800,元/月
整租 | 整租 新出房源 天极盛宅花园 二室二厅一卫 家具家电,2室2厅1卫                    80㎡,2200,元/月
