锦苑小区 全新浪漫生活享受 现代化装修 南北通透 近大柏树,3400,1室1厅1卫,整租,精装修,上海周边,嘉兴,38平米,南,公寓,锦苑小区,滨河路                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1086792300
新小区 精装朝南一房 绿化率高 紧邻3 4 号线地铁站,4000,1室1厅1卫,整租,精装修,普陀区,武宁,45平米,南,公寓,绿地世家(绿地世纪城三期),宁夏路366弄                                                    ,2002年,3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087994207
"紧挨地铁岚皋站,房东急租,全装全配,拎包入住,可押一付一",4000,1室1厅1卫,整租,豪华装修,普陀区,光新,45平米,南,普通住宅,管弄四街坊,管弄路251弄1-43号                                                    ,1989年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087614931
押一付一 精装修 临近地铁漕宝路 实拍图 随时看房,1500,3室1厅1卫,合租,精装修,徐汇区,龙华,17平米,南,普通住宅,西雅图嘉萱苑,三江路88弄                                                    ,2004年,暂无,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086668629
全新装修+房型南北通+交通购物便利+高层全天采光空气好,8500,2室2厅2卫,整租,精装修,浦东新区,南码头,121平米,南北,普通住宅,东方城市花园(二期),东方路1881弄                                                    ,2005年,1.75,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085315939
押一付一 精装修临近地铁拎包入住图片实拍免费保洁娄山关路,3300,2室1厅1卫,整租,精装修,长宁区,虹桥,35平米,东,普通住宅,虹纺小区,虹古路369弄                                                    ,1988年,2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1088018555
马当路9/13号线 毗邻日月光新天地繁华商圈 紧靠丽园公园。,3000,1室1厅1卫,整租,精装修,黄浦区,五里桥,30平米,南,公寓,黄浦华电公寓,蒙自路255号                                                    ,2000年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086562834
主卧出租来电立减全装全配送保洁WiFi出行方便无中介押一付一,2000,3室1厅1卫,整租,精装修,徐汇区,康健,21平米,南,普通住宅,杜鹃园,钦州南路917弄                                                    ,1992年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084638472
精装全配 品牌家电 单间合租 近6号线地铁 陆家嘴 拎包入住,2000,1室1厅1卫,合租,精装修,浦东新区,洋泾,26平米,南北,公寓,凌三小区,浦东大道1695弄                                                    ,1993年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087411564
整租 豪华装修房东自租 近地铁出行方便 有钥匙 随时看,8800,2室2厅1卫,整租,豪华装修,徐汇区,漕河泾,110平米,南北,普通住宅,凯迪虹桥晶舍,桂林路666弄                                                    ,2013年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086364430
近8号线中兴路站 精装两室两厅 随时看房 全配 可免押金入住,7500,2室2厅1卫,整租,精装修,静安区,新客站,102平米,南北,普通住宅,中兴财富国际公寓,中华新路588弄1-3号                                                    ,2005年,5,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087614710
无中介免费物业保洁网络 实拍房源精装月付 紧邻地铁 拎包入住,2000,3室1厅1卫,整租,精装修,闵行区,龙柏金汇,22平米,南,普通住宅,龙柏五村,青杉路5弄                                                    ,1999年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082925336
华悦家园  上海之夜对面   门口12号线  漕河泾  华鑫,2500,1室1卫,整租,中等装修,徐汇区,漕河泾,28平米,南,普通住宅,华悦家园,虹漕路19弄                                                    ,2014年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086998711
上海体育馆 无中介押一付一南北通透独立阳台独立卫浴免费wif,1890,2室1厅1卫,合租,精装修,徐汇区,万体馆,20平米,南,普通住宅,天钥新村,中山南二路918弄                                                    ,1993年,1.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085979946
主卧出租押一付一无中介设施齐全拎包入住 实拍图 出行方便,1880,2室1厅1卫,合租,精装修,松江区,松江老城,17平米,南,普通住宅,新理想花园,荣乐西路758弄                                                    ,2013年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087007068
押一付一 0中介 设施齐全 随时看房 独立卫浴,1500,3室1厅1卫,合租,精装修,嘉定区,菊园新区,15平米,南,普通住宅,竹园公寓,项泾西街58弄                                                    ,1998年,暂无,22%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1086941925
三门路（10号线）424米 拎包入住 甄选三湘精装一房随时看,4600,1室1厅1卫,整租,精装修,杨浦区,新江湾城,66平米,西北,普通住宅,三湘未来海岸,淞沪路949号                                                    ,2013年,2.8,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1087203026
张江金科路广兰路押一付一无中介采光好免费双周保洁出行方便,2100,3室1厅1卫,合租,精装修,浦东新区,张江,23平米,南,普通住宅,张江汤臣豪园四期,藿香路238弄                                                    ,2003年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084402807
比邻中山公园押一付一 0中介 北欧风随时看房 免费双周保洁,1900,3室1厅1卫,整租,精装修,长宁区,天山,21平米,南,普通住宅,天山星城,威宁路358弄1-49号                                                    ,2012年,2.44,41%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087976640
金桥东源名都 地铁12号线 精装一室户 独立厨卫 家电全配！,1000,1室1厅1卫,整租,精装修,浦东新区,高行,28平米,南,普通住宅,东源名都(东区),双桥路1139弄                                                    ,2012年,2.1,47%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087613640
高兴花园精装两房 近莘庄1号线 温馨舒适有钥匙随时看拎包入住,2500,2室1厅1卫,整租,精装修,闵行区,春申,65平米,南,普通住宅,高兴花园一街坊,莘朱路879弄1-28号                                                    ,2000年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086338482
紧邻地铁站 实拍精装月付 主卧大阳台 南北通透 拎包入住,3100,3室1厅1卫,合租,精装修,徐汇区,漕河泾,33平米,南,普通住宅,凯迪虹桥晶舍,桂林路666弄                                                    ,2013年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084970728
实房实价不虚假  精装一室2000 近中环百联 红星美凯龙,2000,1室1厅1卫,合租,精装修,普陀区,长风,35平米,南,普通住宅,梅四小区,武宁路2525弄                                                    ,1994年,1.6,39%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087792588
紧邻幸福里商业街 ，幸福两房， 闹中取静 拎包入住看房有钥匙,7000,2室1厅1卫,整租,豪华装修,长宁区,新华路,63平米,南北,普通住宅,又一村,番禺路293弄                                                    ,2000年,1.8,22%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1087628590
无附加费 设施完善 入住立减房租 押一付一 精装修大主卧出租,1500,2室1厅1卫,合租,精装修,浦东新区,陆家嘴,17平米,南,普通住宅,蔚蓝海岸天科苑,浦东南路1550弄                                                    ,2003年,3.9,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086391088
押一付一无中介采光好南北通透 北新泾仙霞免费双周保洁出行方便,3490,3室1厅1卫,合租,精装修,长宁区,北新泾,37平米,南,普通住宅,新泾四村,天山西路351弄                                                    ,1994年,1.5,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084403672
老街两房出租 中心位置 全装全配 价格便宜 诚心出租 好房源,3500,2室2厅1卫,整租,精装修,浦东新区,康桥,88平米,南北,普通住宅,绿地康桥新苑,沪南公路2688弄                                                    ,2005年,1.2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087388024
精装全配家具家电齐全拎包入住有钥匙在岚皋路站房间随时来电看房,3000,1室,整租,精装修,崇明区,崇明主城,35平米,南,普通住宅,管弄小区,管弄                                                    ,1986年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086861014
简约时尚 安静自然 植物园对面 可押一付一拎包入住 看房方便,2900,1室1厅1卫,整租,中等装修,徐汇区,植物园,40平米,南,普通住宅,园南一村,龙川北路177号                                                    ,1987年,1.7,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085814801
