职位名,公司,工作地点,薪资,经验,学历,url
Java或C#初级开发工程师,辽宁智管科技有限公司,沈阳-东陵区（...,2.5-4千/月,无工作经验,,http://jobs.51job.com/shenyang-dlhnq/91778919.html?s=01&t=0
软件工程师（Java）,深圳市凯欣达信息技术股份有限公司,上海-徐汇区,0.8-1.2万/月,2年经验,本科,http://jobs.51job.com/shanghai-xhq/73546221.html?s=01&t=0
JAVA软件工程师/实习软件工程师,武汉冲锋互联网技术服务有限公司,武汉-洪山区,4.5-6千/月,无工作经验,中专,http://jobs.51job.com/wuhan-hsq/81756382.html?s=01&t=0
java开发,广州云道信息科技有限公司,广州-天河区,1-1.5万/月,3-4年经验,大专,http://jobs.51job.com/guangzhou-thq/56335225.html?s=01&t=0
java开发助理,武汉市华信智原科技有限公司,武汉-洪山区,3-8千/月,,本科,http://jobs.51job.com/wuhan-hsq/92083502.html?s=01&t=0
Java后台开发工程师,重庆广宏智兴科技有限公司,重庆-沙坪坝区,12-20万/年,,本科,http://jobs.51job.com/chongqing-spbq/88927676.html?s=01&t=0
项目经理（java开发）,张家港电子口岸有限公司,张家港,13-20万/年,3-4年经验,本科,http://jobs.51job.com/zhangjiagang/87425005.html?s=01&t=0
JAVA 高级软件工程师（北京）,盘石软件（上海）有限公司,北京,1.5-2万/月,5-7年经验,本科,http://jobs.51job.com/beijing/90524110.html?s=01&t=0
"Java JEE工程师(六险一金,双休带薪假,福利津贴完善)",成都诚迅网络科技有限公司,成都,0.6-1.2万/月,,,http://jobs.51job.com/chengdu/85169491.html?s=01&t=0
"java和安卓,软件开发,测试实习生",上海海文信息技术有限公司武汉分公司,武汉-洪山区,4.5-6千/月,,高中,http://jobs.51job.com/wuhan-hsq/92305533.html?s=01&t=0
Java开发工程师,广州创想云科技有限公司,广州,0.8-1万/月,2年经验,,http://jobs.51job.com/guangzhou/89652882.html?s=01&t=0
JAVA 研发工程师(长沙）,济南瀚盟网络技术有限公司,济南,4.5-6千/月,2年经验,本科,http://jobs.51job.com/jinan/91366830.html?s=01&t=0
Java开发工程师,融奕数智科技（深圳）有限公司,南京-栖霞区,0.5-1.5万/月,,大专,http://jobs.51job.com/nanjing-qxq/92832668.html?s=01&t=0
Java高级软件工程师,广州亿阳信息技术有限公司,广州-越秀区,1.5-2万/月,,,http://jobs.51job.com/guangzhou-yxq/82064736.html?s=01&t=0
信息流-高级Java server开发工程师-北京-02647,北京搜狗科技发展有限公司,北京-海淀区,3-5万/月,5-7年经验,本科,http://jobs.51job.com/beijing-hdq/93019546.html?s=01&t=0
JAVA架构师,易居（中国）控股有限公司,上海-闸北区,3-4万/月,8-9年经验,本科,http://jobs.51job.com/shanghai-zbq/93017878.html?s=01&t=0
